method,PER_mean,PER_std,BWT_mean,BWT_std,FWT_mean,FWT_std,HIGH_MEM_inference_mean,HIGH_MEM_inference_std,HIGH_MEM_total_mean,HIGH_MEM_total_std,LOW_MEM_inference_mean,LOW_MEM_inference_std,LOW_MEM_total_mean,LOW_MEM_total_std,MEM_inference_mean,MEM_inference_std,MEM_total_mean,MEM_total_std
PNN,92.2,2.7,0.0,0.0,8.1,3.5,9.9,0.0,9.9,0.0,9.9,0.0,9.9,0.0,9.9,0.0,9.9,0.0
HiSPO,86.4,3.1,0.0,0.0,2.3,3.6,3.5,0.5,3.5,0.5,3.5,0.5,3.5,0.5,3.5,0.5,3.5,0.5477225575051659
FTN,85.4,3.2,0.0,0.0,1.3,3.6,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
SCN,84.1,3.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
RPL,81.1,6.6,-0.8,6.9,-2.3,2.4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
EWC,54.4,16.5,-33.1,18.7,3.4,2.9,1.0,0.0,9.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,9.0,0.0
SC1,54.1,24.1,-30.0,24.2,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
FT1,53.7,20.6,-31.7,22.0,1.3,3.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
FRZ,49.3,17.5,0.0,0.0,-34.9,17.6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
L2,39.9,36.2,-29.8,22.0,-14.5,16.0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0
