method,PER_mean,PER_std,BWT_mean,BWT_std,FWT_mean,FWT_std,HIGH_MEM_inference_mean,HIGH_MEM_inference_std,HIGH_MEM_total_mean,HIGH_MEM_total_std,LOW_MEM_inference_mean,LOW_MEM_inference_std,LOW_MEM_total_mean,LOW_MEM_total_std,MEM_inference_mean,MEM_inference_std,MEM_total_mean,MEM_total_std
PNN,89.2,5.1,0.0,0.0,6.7,4.8,9.9,0.0,9.9,0.0,9.9,0.0,9.9,0.0,9.9,0.0,9.9,0.0
FTN,86.1,6.8,0.0,0.0,3.7,2.1,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
SCN,82.5,7.7,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
HiSPO,79.3,5.1,0.0,0.0,-3.1,6.2,2.7,0.8,2.7,0.8,3.2,1.0,3.2,1.0,2.9,0.9,2.9,0.8617879523351181
RPL,75.7,16.5,3.7,4.9,-10.5,11.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
EWC,71.0,16.3,-15.2,11.4,3.8,3.0,1.0,0.0,9.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,9.0,0.0
FT1,70.8,16.4,-15.4,10.7,3.7,2.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
L2,65.0,20.4,-19.0,11.9,1.5,3.7,1.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0
SC1,60.6,17.2,-21.8,10.1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
FRZ,58.5,15.2,0.0,0.0,-24.0,8.3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
