METHODS,TASK_IDX,TIME
EWC,1,0.0026086874437332
EWC,2,0.002587311618328
EWC,3,0.0025908284950256
EWC,4,0.0025652929329872
FT1,1,0.0025669320940971
FT1,2,0.0026327485918998
FT1,3,0.0026064560365676
FT1,4,0.0026150201559066
FTN,1,0.0026052440977096
FTN,2,0.0024162080526351
FTN,3,0.0023922615933418
FTN,4,0.0023745663809776
HiSPO,1,0.0032374534416198
HiSPO,2,0.0044908605146408
HiSPO,3,0.0052394516348838
HiSPO,4,0.0053754424715042
L2,1,0.002485257153511
L2,2,0.0024246496129035
L2,3,0.0024483288884162
L2,4,0.0024236191773414
PNN,1,0.0025698188614845
PNN,2,0.0059657326579093
PNN,3,0.0104619366908073
PNN,4,0.0138859686684608
RPL,1,0.0025619699835777
RPL,2,0.0025967338252067
RPL,3,0.0025851144623756
RPL,4,0.0025281407094001
SC1,1,0.0025102201247215
SC1,2,0.002495469675064
SC1,3,0.0025284662485122
SC1,4,0.0025330679941177
SCN,1,0.0025465590667724
SCN,2,0.0025563461470603
SCN,3,0.002600497841835
SCN,4,0.0026510248184204
FRZ,1,0.0026753569483757
FRZ,2,0.0019459206414222
FRZ,3,0.0019036986637115
FRZ,4,0.0019203340435028
